project,release,class,loc,churn,loc_added,fan_out,revisions,max_churn,max_loc_added,avg_churn,avg_loc_added,fan_in_total,loc_touched_total,revisions_density,ns,age,weighted_age,nauth,nfix,ndev,bug_density,fix,code_smells,buggy
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\ComponentObject.java,317,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,34,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\DistributedRPC.java,772,0,0,3,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,95,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\DistributedRPCInvocations.java,1561,0,0,3,0,0,0,0.0,0.0,4,0,0.0,1,7.73,0.0,1,0,1,0.0,0,204,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\DRPCExecutionException.java,251,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,27,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\DRPCRequest.java,337,0,0,3,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,49,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\ErrorInfo.java,336,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,45,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\ExecutorInfo.java,331,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,45,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\ExecutorSpecificStats.java,258,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,15,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\ExecutorStats.java,560,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,112,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\ExecutorSummary.java,676,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,107,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\GlobalStreamId.java,337,0,0,3,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,43,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\Grouping.java,569,0,0,3,0,0,0,0.0,0.0,2,0,0.0,1,7.73,0.0,1,0,1,0.0,0,72,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\InvalidTopologyException.java,251,0,0,3,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,27,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\JavaObject.java,372,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,59,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\JavaObjectArg.java,449,0,0,3,0,0,0,0.0,0.0,0,0,0.0,1,7.73,0.0,1,0,1,0.0,0,64,NO
storm,release_0.9.0.1,storm-core\src\jvm\backtype\storm\generated\KillOptions.java,244,0,0,3,0,0,0,0.0,0.0,1,0,0.0,1,7.73,0.0,1,0,1,0.0,0,32,NO
